"","Diet","DN","Sample_type","fish_number","Tank","quant_reading","Sample_kind"
"M1","IWA",5,"Digesta","4",1,83,"True_sample"
"M10","AWA",6,"Digesta","22",4,59,"True_sample"
"M11","AWA",6,"Digesta","23",4,44,"True_sample"
"M12","AWA",6,"Digesta","24",4,36,"True_sample"
"M13","ACJ",4,"Digesta","28",5,98,"True_sample"
"M14","ACJ",4,"Digesta","29",5,59,"True_sample"
"M15","ACJ",4,"Digesta","30",5,43,"True_sample"
"M16","SBM",2,"Digesta","34",6,55,"True_sample"
"M17","SBM",2,"Digesta","35",6,95,"True_sample"
"M18","SBM",2,"Digesta","36",6,75,"True_sample"
"M19","ICJ",3,"Digesta","40",7,74,"True_sample"
"M2","IWA",5,"Digesta","5",1,57,"True_sample"
"M20","ICJ",3,"Digesta","41",7,66,"True_sample"
"M21","ICJ",3,"Digesta","42",7,26,"True_sample"
"M22","ACJ",4,"Digesta","46",8,91,"True_sample"
"M23","ACJ",4,"Digesta","47",8,118,"True_sample"
"M24","ACJ",4,"Digesta","48",8,108,"True_sample"
"M25","FM",1,"Digesta","52",9,83,"True_sample"
"M26","FM",1,"Digesta","53",9,75,"True_sample"
"M27","FM",1,"Digesta","54",9,80,"True_sample"
"M28","AWA",6,"Digesta","58",10,26,"True_sample"
"M29","AWA",6,"Digesta","59",10,31,"True_sample"
"M3","IWA",5,"Digesta","6",1,77,"True_sample"
"M30","AWA",6,"Digesta","60",10,39,"True_sample"
"M31","IWA",5,"Digesta","64",11,42,"True_sample"
"M32","IWA",5,"Digesta","65",11,40,"True_sample"
"M33","IWA",5,"Digesta","66",11,27,"True_sample"
"M34","SBM",2,"Digesta","70",12,56,"True_sample"
"M35","SBM",2,"Digesta","71",12,64,"True_sample"
"M36","SBM",2,"Digesta","72",12,56,"True_sample"
"M37","AWA",6,"Digesta","76",13,53,"True_sample"
"M38","AWA",6,"Digesta","78",13,72,"True_sample"
"M39","ACJ",4,"Digesta","82",14,124,"True_sample"
"M4","ICJ",3,"Digesta","10",2,97,"True_sample"
"M40","ACJ",4,"Digesta","83",14,135,"True_sample"
"M41","ACJ",4,"Digesta","84",14,63,"True_sample"
"M42","IWA",5,"Digesta","88",15,53,"True_sample"
"M43","IWA",5,"Digesta","89",15,57,"True_sample"
"M44","IWA",5,"Digesta","90",15,47,"True_sample"
"M45","SBM",2,"Digesta","94",16,61,"True_sample"
"M46","SBM",2,"Digesta","95",16,63,"True_sample"
"M47","SBM",2,"Digesta","96",16,74,"True_sample"
"M49","FM",1,"Digesta","100",17,59,"True_sample"
"M5","ICJ",3,"Digesta","11",2,48,"True_sample"
"M50","FM",1,"Digesta","101",17,49,"True_sample"
"M51","FM",1,"Digesta","102",17,6,"True_sample"
"M52","ICJ",3,"Digesta","106",18,49,"True_sample"
"M53","ICJ",3,"Digesta","107",18,49,"True_sample"
"M54","ICJ",3,"Digesta","108",18,63,"True_sample"
"M55","FM",1,"Feed","111",NA,106,"Feed_sample"
"M56","SBM",2,"Feed","114",NA,156,"Feed_sample"
"M57","ICJ",3,"Feed","117",NA,98,"Feed_sample"
"M58","ACJ",4,"Feed","120",NA,94,"Feed_sample"
"M59","IWA",5,"Feed","123",NA,99,"Feed_sample"
"M6","ICJ",3,"Digesta","12",2,81,"True_sample"
"M60","AWA",6,"Feed","126",NA,92,"Feed_sample"
"M61","TW",8,"water","JT3",NA,128,"Water_sample"
"M62","TW",8,"water","JT4",NA,130,"Water_sample"
"M63","SW",8,"water","JS2",NA,26,"Water_sample"
"M64","FP",9,"control","FP",NA,1,"Negative_control"
"M65","NC",9,"control","NC",NA,1,"Negative_control"
"M7","FM",1,"Digesta","16",3,123,"True_sample"
"M8","FM",1,"Digesta","17",3,108,"True_sample"
"M9","FM",1,"Digesta","18",3,98,"True_sample"
"S1","IWA",5,"Digesta","1",1,48,"True_sample"
"S10","AWA",6,"Digesta","19",4,55,"True_sample"
"S11","AWA",6,"Digesta","20",4,31,"True_sample"
"S12","AWA",6,"Digesta","21",4,57,"True_sample"
"S13","ACJ",4,"Digesta","25",5,91,"True_sample"
"S14","ACJ",4,"Digesta","26",5,82,"True_sample"
"S15","ACJ",4,"Digesta","27",5,43,"True_sample"
"S16","SBM",2,"Digesta","31",6,72,"True_sample"
"S17","SBM",2,"Digesta","32",6,58,"True_sample"
"S18","SBM",2,"Digesta","33",6,37,"True_sample"
"S19","ICJ",3,"Digesta","37",7,39,"True_sample"
"S2","IWA",5,"Digesta","2",1,39,"True_sample"
"S20","ICJ",3,"Digesta","38",7,71,"True_sample"
"S21","ICJ",3,"Digesta","39",7,33,"True_sample"
"S22","ACJ",4,"Digesta","43",8,78,"True_sample"
"S23","ACJ",4,"Digesta","44",8,88,"True_sample"
"S24","ACJ",4,"Digesta","45",8,101,"True_sample"
"S25","FM",1,"Digesta","49",9,105,"True_sample"
"S26","FM",1,"Digesta","50",9,45,"True_sample"
"S27","FM",1,"Digesta","51",9,74,"True_sample"
"S28","AWA",6,"Digesta","55",10,43,"True_sample"
"S29","AWA",6,"Digesta","56",10,18,"True_sample"
"S3","IWA",5,"Digesta","3",1,18,"True_sample"
"S30","AWA",6,"Digesta","57",10,45,"True_sample"
"S31","IWA",5,"Digesta","61",11,68,"True_sample"
"S32","IWA",5,"Digesta","62",11,49,"True_sample"
"S33","IWA",5,"Digesta","63",11,74,"True_sample"
"S34","SBM",2,"Digesta","67",12,69,"True_sample"
"S35","SBM",2,"Digesta","68",12,80,"True_sample"
"S36","SBM",2,"Digesta","69",12,71,"True_sample"
"S37","AWA",6,"Digesta","73",13,34,"True_sample"
"S38","AWA",6,"Digesta","74",13,42,"True_sample"
"S39","AWA",4,"Digesta","75",13,54,"True_sample"
"S4","ICJ",3,"Digesta","7",2,73,"True_sample"
"S40","ACJ",4,"Digesta","79",14,169,"True_sample"
"S41","ACJ",4,"Digesta","80",14,74,"True_sample"
"S42","ACJ",4,"Digesta","81",14,32,"True_sample"
"S43","IWA",5,"Digesta","85",15,58,"True_sample"
"S44","IWA",5,"Digesta","86",15,59,"True_sample"
"S45","IWA",5,"Digesta","87",15,58,"True_sample"
"S46","SBM",2,"Digesta","91",16,79,"True_sample"
"S47","SBM",2,"Digesta","92",16,73,"True_sample"
"S49","SBM",2,"Digesta","93",NA,76,"True_sample"
"S5","ICJ",3,"Digesta","8",2,77,"True_sample"
"S50","FM",1,"Digesta","97",17,84,"True_sample"
"S51","FM",1,"Digesta","98",17,78,"True_sample"
"S52","FM",1,"Digesta","99",17,12,"True_sample"
"S53","ICJ",3,"Digesta","103",18,45,"True_sample"
"S54","ICJ",3,"Digesta","104",18,39,"True_sample"
"S55","ICJ",3,"Digesta","105",18,63,"True_sample"
"S56","FM",1,"Feed","109",NA,132,"Feed_sample"
"S57","FM",1,"Feed","110",NA,94,"Feed_sample"
"S58","SBM",2,"Feed","112",NA,123,"Feed_sample"
"S59","SBM",2,"Feed","113",NA,113,"Feed_sample"
"S6","ICJ",3,"Digesta","9",2,57,"True_sample"
"S60","ICJ",3,"Feed","115",NA,111,"Feed_sample"
"S61","ICJ",3,"Feed","116",NA,121,"Feed_sample"
"S62","ACJ",4,"Feed","118",NA,133,"Feed_sample"
"S63","ACJ",4,"Feed","119",NA,132,"Feed_sample"
"S64","IWA",5,"Feed","121",NA,94,"Feed_sample"
"S65","IWA",5,"Feed","122",NA,190,"Feed_sample"
"S66","AWA",6,"Feed","124",NA,171,"Feed_sample"
"S67","AWA",6,"Feed","125",NA,173,"Feed_sample"
"S68","TW",8,"water","JT1",NA,207,"Water_sample"
"S69","TW",8,"water","JT2",NA,210,"Water_sample"
"S7","FM",1,"Digesta","13",3,119,"True_sample"
"S70","SW",8,"water","JS1",NA,34,"Water_sample"
"S71","FP",9,"control","FP",NA,1,"Negative_control"
"S72","NC",9,"control","NC",NA,1,"Negative_control"
"S8","FM",1,"Digesta","14",3,74,"True_sample"
"S9","FM",1,"Digesta","15",3,8,"True_sample"
"M48","mock",7,"Positive_control","PC2",NA,158,"True_sample"
"S48","mock_1",7,"Positive_control","PC",16,207,"True_sample"
